index;title;description;protocol;y_true
62;binding affinity towards opioid receptor delta 1 expressed in cho cell wa determined by using [ 3h ] dpdpe a radioligand;title : synthesis and opioid activity of side-chain-to-side-chain cyclic dynorphin a- ( 1-11 ) amide analogue cyclized between position 2 and 5 . 1. substitution in position 3. abstract : cyclo [ d-asp ( 2 ) , dap ( 5 ) ] dyn a- ( 1-13 ) nh ( 2 ) ( dap , 2,3-diaminopropionic acid . dyn a , dynorphin a ) , synthesized previously in our laboratory , showed sub-nanomolar affinity for kappa opioid receptor and potent agonist activity in the guinea pig ileum assay ( arttamangkul et al. , j. med . chem . 1995 , 38 , 2410-2417 ) . various modification were made in position 3 of cyclo [ d-asp ( 2 ) , dap ( 5 ) ] dyn a- ( 1-11 ) nh ( 2 ) that could influence the opioid receptor affinity , selectivity , and/or efficacy of this peptide . an optimized orthogonal synthetic strategy wa developed for the synthesis of these cyclic peptide in which the final peptide could be cleaved from the solid support with trifluoroacetic acid . substitution of gly ( 3 ) by ala , d-ala , trp , and d-trp in cyclo [ d-asp ( 2 ) , dap ( 5 ) ] dyn a- ( 1-11 ) nh ( 2 ) and it linear counterpart [ d-asp ( 2 ) , dap ( 5 ) ] dyn a- ( 1-11 ) nh ( 2 ) were generally well tolerated by both kappa and micro opioid receptor . despite difference in the size and stereochemistry of the substitution , most of the peptide ( except for cyclo [ d-asp ( 2 ) , pro ( 3 ) , dap ( 5 ) ] dyn a- ( 1-11 ) nh ( 2 ) and [ d-asp ( 2 ) , d-ala ( 3 ) , dap ( 5 ) ] dyn a- ( 1-11 ) nh ( 2 ) ) exhibited low nanomolar affinity for both kappa ( k ( i ) = 0.21 to 2.2 nm ) and micro ( k ( i ) = 0.22 to 7.27 nm ) opioid receptor . all of the 3-substituted cyclic and linear analogue synthesized showed reduced affinity for delta opioid receptor . incorporation of d-ala at position 3 of cyclo [ d-asp ( 2 ) , dap ( 5 ) ] dyn a- ( 1-11 ) nh ( 2 ) exhibited 2-fold higher kappa opioid receptor affinity and 16-fold higher selectivity for kappa over micro opioid receptor than the parent cyclic peptide . in contrast , substitution of ala at position 3 resulted in an analogue with 2.4-fold lower affinity and very low preference for kappa over micro opioid receptor . the trp and d-trp cyclic and linear analogue exhibited similar nanomolar affinity for kappa opioid receptor . cyclo [ d-asp ( 2 ) , pro ( 3 ) , dap ( 5 ) ] dyn a- ( 1-11 ) nh ( 2 ) showed the largest decrease in affinity for all three opioid receptor compared to the parent cyclic peptide . except for cyclo [ d-asp ( 2 ) , pro ( 3 ) , dap ( 5 ) ] dyn a- ( 1-11 ) nh ( 2 ) , which wa a partial agonist , all of the cyclic peptide exhibited full agonist activity in the adenylyl cyclase assay using cloned kappa opioid receptor .;;1.0
63;agonist activity at human d2s receptor expressed in hek293t cell membrane coexpressing galphao1 assessed a induction of nucleotide exchange preincubated for 30 min followed by addition of [ 35s ] gtpgammas measured after 30 min by [ 35s ] gtpgammas binding assay;title : hydroxy-substituted heteroarylpiperazines : novel scaffold for β-arrestin-biased d2r agonist . abstract : by mean of a formal structural hybridization of the antipsychotic drug aripiprazole and the heterocyclic catecholamine surrogate present in the β2-adrenoceptor agonist procaterol and bi-167107 ( 4 ) , we designed and synthesized a collection of novel hydroxy-substituted heteroarylpiperazines and heteroarylhomopiperazines with high dopamine d2 receptor ( d2r ) affinity . in contrast to the weak agonistic behavior of aripiprazole , these ligand are capable of effectively mimicking those interaction of dopamine and the d2r that are crucial for an active state , leading to the recruitment of β-arrestin-2 . interestingly , some ligand show considerably lower intrinsic activity in guanine nucleotide exchange experiment at d2r and consequently represent biased agonist favoring β-arrestin-2 recruitment over canonical g protein activation . the ligand ' agonistic property are substantially driven by the presence of an endocyclic h-bond donor .;;1.0
64;inhibition of recombinant mouse soluble epoxide hydrolase using cmnpc a substrate preincubated for 5 min followed by substrate addition and measured at 30 sec interval for 10 min by fluorescence assay;title : 2-oxaadamant-1-yl urea a soluble epoxide hydrolase inhibitor : in vivo evaluation in a murine model of acute pancreatitis . abstract : in vivo pharmacological inhibition of soluble epoxide hydrolase ( seh ) reduces inflammatory disease , including acute pancreatitis ( ap ) . adamantyl urea are very potent seh inhibitor , but the lipophilicity and metabolism of the adamantane group compromise their overall usefulness . herein , we report that the replacement of a methylene unit of the adamantane group by an oxygen atom increase the solubility , permeability , and stability of three series of urea-based seh inhibitor . most of these oxa-analogues are nanomolar inhibitor of both the human and murine seh . molecular dynamic simulation rationalize the molecular basis for their activity and suggest that the presence of the oxygen atom on the adamantane scaffold result in active site rearrangement to establish a weak hydrogen bond . the 2-oxaadamantane 22 , which ha a good solubility , microsomal stability , and selectivity for seh , wa selected for further in vitro and in vivo study in model of cerulein-induced ap . both in prophylactic and treatment study , 22 diminished the overexpression of inflammatory and endoplasmic reticulum stress marker induced by cerulein and reduced the pancreatic damage .;;-1.0
65;kinobeads ( epsilon ) , multiple immobilized atp-competitive broad spectrum kinase inhibitor , used to ass residual binding of ~300 protein simultaneously from cell lysate in the presence of a compound . quantitative readout performed by mass spectrometry .;title : the target landscape of clinical kinase drug . abstract : kinase inhibitor are important cancer therapeutic . polypharmacology is commonly observed , requiring thorough target deconvolution to understand drug mechanism of action . using chemical proteomics , we analyzed the target spectrum of 243 clinically evaluated kinase drug . the data revealed previously unknown target for established drug , offered a perspective on the `` druggable '' kinome , highlighted ( non ) kinase off-targets , and suggested potential therapeutic application . integration of phosphoproteomic data refined drug-affected pathway , identified response marker , and strengthened rationale for combination treatment . we exemplify translational value by discovering sik2 ( salt-inducible kinase 2 ) inhibitor that modulate cytokine production in primary cell , by identifying drug against the lung cancer survival marker melk ( maternal embryonic leucine zipper kinase ) , and by repurposing cabozantinib to treat flt3-itd-positive acute myeloid leukemia . this resource , available via the proteomicsdb database , should facilitate basic , clinical , and drug discovery research and aid clinical decision-making .;;-1.0
66;inhibition of human hgprt using prib-pp a substrate by hanes-plot based method;title : nucleotide analogue containing a pyrrolidine , piperidine or piperazine ring : synthesis and evaluation of inhibition of plasmodial and human 6-oxopurine phosphoribosyltransferases and in vitro antimalarial activity . abstract : parasite of the plasmodium genus are unable to produce purine nucleotide de novo and depend completely on the salvage pathway . this fact make plasmodial hypoxanthine-guanine- ( xanthine ) phosphoribosyltransferase [ hg ( x ) prt ] a valuable target for development of antimalarial agent . a series of nucleotide analogue wa designed , synthesized and evaluated a potential inhibitor of plasmodium falciparum hgxprt , p. vivax hgprt and human hgprt . these novel nucleoside phosphonates have a pyrrolidine , piperidine or piperazine ring incorporated into the linker connecting the purine base to a phosphonate group ( s ) and exhibited a broad range of k < sub > i < /sub > value between 0.15 and 72 μm . the corresponding phosphoramidate prodrugs , able to cross cell membrane , have been synthesized and evaluated in a p. falciparum infected human erythrocyte assay . of the eight prodrugs evaluated seven exhibited in vitro antimalarial activity with ic < sub > 50 < /sub > value within the range of 2.5-12.1 μm . the bis-phosphoramidate prodrug 13a with a mean ( sd ) ic < sub > 50 < /sub > of 2.5 ± 0.7 μm against the chloroquine-resistant p. falciparum w2 strain exhibited low cytotoxicity in the human hepatocellular liver carcinoma ( hepg2 ) and normal human dermal fibroblast ( nhdf ) cell line at a concentration of 100 μm suggesting good selectivity for further structure-activity relationship investigation .;;-1.0
67;inhibition of cyp2d6;title : aminothiazoles a γ-secretase modulators . abstract : we herein report the discovery of a new γ-secretase modulator class with an aminothiazole core starting from a hts hit ( 3 ) . synthesis and sar of this series are discussed . these novel compound demonstrate moderate to good in vitro potency in inhibiting amyloid beta ( aβ ) peptide production . overall γ-secretase is not inhibited but the formation of the aggregating , toxic aβ42 peptide is shifted to smaller non-aggregating aβ peptide . compound 15 reduced brain aβ42 in vivo in appswe transgenic mouse at 30mg/kg p.o .;;-1.0
68;inhibition of electric eel ache using acetylthiocholine iodide a substrate preincubated with enzyme for 10 min prior to substrate challenge measured after 15 min by ellman 's method;title : quinolone-benzylpiperidine derivative a novel acetylcholinesterase inhibitor and antioxidant hybrid for alzheimer disease . abstract : design , synthesis and evaluation of new acetylcholinesterase inhibitor by combining quinolinecarboxamide to a benzylpiperidine moiety are described . then , a series of hybrid have been developed by introducing radical scavenger . molecular modeling wa performed and structure activity relationship are discussed . among the series , most potent compound show effective ache inhibition , high selectivity over butyrylcholinesterase and high radical scavenging activity . on the basis of this work , the ability of quinolone derivative to serve in the design of n-benzylpiperidine linked multipotent molecule for the treatment of alzheimer disease ha been established .;;-1.0
69;inhibition of human recombinant carbonic anhydrase-2 using co2 a substrate preincubated for 10 min by stopped-flow co2 hydrase assay;title : discovery of 4-sulfamoyl-phenyl-β-lactams a a new class of potent carbonic anhydrase isoforms i , ii , iv and vii inhibitor : the first example of subnanomolar ca iv inhibitor . abstract : a series of benzenesulfonamides incorporating 1,3,4-trisubstituted-β-lactam moiety wa prepared from sulfanilamide schiff base and in situ obtained ketenes , by using the staudinger cycloaddition reaction . the new compound were assayed a inhibitor of four human isoforms of the metalloenzyme carbonic anhydrase ( hca , ec 4.2.1.1 ) involved in various physiological/pathological condition , hca i , ii , iv and vii . excellent inhibitory activity wa observed against all these isoforms , a follows : hca i , involved in some eye disease wa inhibited with ki in the range of 7.3-917nm . hca ii , an antiglaucoma drug target , with ki in the range of 0.76-163nm . hca iv , an isoform involved in several pathological condition such a glaucoma , retinitis pigmentosa and edema wa potently inhibited by the lactam-sulfonamides , with ki in the range of 0.53-51.0nm , whereas hca vii , a recently validated anti-neuropathic pain target wa the most inhibited isoform by these derivative , with ki in the range of 0.68-9.1nm . the structure-activity relationship for inhibiting these ca with the new lactam-sulfonamides is discussed in detail .;;-1.0
70;activity at rat recombinant full length vdr expressed in rat ro 17/2.8 cell transfected with 24-hydroxylase gene promoter assessed a transcriptional activation after 16 hr by luciferase reporter gene assay relative to 1alpha,25- ( oh ) 2d3;title : removal of the 26-methyl group from 19-nor-1α,25-dihydroxyvitamin d₃ markedly reduces in vivo calcemic activity without altering in vitro vdr binding , hl-60 cell differentiation , and transcription . abstract : twelve new analogue of 19-nor-1α,25-dihydroxyvitamin d₃ ( 5-16 ) were prepared by convergent synthesis , employing the wittig-horner reaction . the necessary grundmann type ketone ( 45-48 ) , possessing fixed configuration of the hydroxyl group at c-25 , were obtained by a multistep procedure from commercial vitamin d₂ and enantiomer of 1,3-butanediol ( 23 and 24 ) . we have examined the influence of removal of one of the methyl group located at c-25 on the biological in vitro and in vivo activity . the in vivo test showed that the synthesized vitamin d compound ( 5-16 ) exhibit reduced calcemic activity both in bone and in the intestine . however , in vitro potency of 2-methylene and 2α-methyl compound ( 5-10 , 13 , and 14 ) remained similar or enhanced a compared to that of 1α,25- ( oh ) ₂d₃ .;;1.0
72;inhibition of recombinant steroid 5-alpha-reductase type i expressed in cho cell;title : benzo [ c ] quinolizin-3-ones : a novel class of potent and selective nonsteroidal inhibitor of human steroid 5alpha-reductase 1. abstract : the synthesis and biological evaluation of a series of novel , selective inhibitor of isoenzyme 1 of human 5alpha-reductase ( 5alphar ) ( ec 1.3.99.5 ) are reported . the inhibitor are 4ah- ( 19-29 ) or 1h-tetrahydrobenzo [ c ] quinolizin-3-ones ( 35-47 ) bearing at position 1 , 4 , 5 , and 6 a methyl group and at position 8 a hydrogen , methyl group , or chlorine atom . all these compound were tested toward 5alphar-1 and 5alphar-2 expressed in cho cell ( cho 1827 and cho 1829 , respectively ) resulting in selective inhibitor of the type 1 isoenzyme , with inhibitory potency ( ic ( 50 ) ) ranging from 7.6 to 9100 nm . the inhibitor of the 4ah-series , having a double bond at position 1,2 , were generally le active than the corresponding inhibitor of the 1h-series having the double bond at position 4,4a on the a ring . the presence of a methyl group at position 4 ( a in compound 39-40 and 45-47 ) , associated with a substituent at position 8 , determined the highest inhibition potency ( ic ( 50 ) from 7.6 to 20 nm ) . compound 39 and 40 , having k ( i ) value of 5.8+/-1.8 and 2.7+/-0.6 nm , respectively , toward 5alphar-1 expressed in cho cell , were also tested toward native 5alphar-1 in human scalp and 5alphar-2 in human prostate homogenate , in comparison with finasteride and the known 5alphar-1-selective inhibitor ly191704 , and their mechanism of inhibition wa determined . they both inhibited the enzyme through a reversible competitive mechanism and again were selective inhibitor of 5alphar-1 with ic ( 50 ) value of 41 nm . these specific feature make these inhibitor suitable candidate for further development a drug in the treatment of dht-dependent disorder such a acne and androgenic alopecia in men and hirsutism in woman .;;-1.0
73;in vitro inhibitory against monoamine oxidase a ( mao-a ) in rat brain homogenate .;in vitro inhibitory against monoamine oxidase a ( mao-a ) in rat brain homogenate .;;-1.0
74;inhibition of p60 c-src tyrosine kinase activity;title : 7-alkyl- and 7-cycloalkyl-5-aryl-pyrrolo [ 2,3-d ] pyrimidine -- potent inhibitor of the tyrosine kinase c-src . abstract : 7-substituted-5-aryl-pyrrolo [ 2,3-d ] pyrimidine have been prepared starting from alpha-bromoacetophenones . these compound represent a novel class of potent inhibitor of the tyrosine kinase pp60 ( c-src ) with good specificity towards other tyrosine kinase ( egf-r , v-abl ) .;;-1.0
75;inhibition of mouse recombinant gst-tagged clk1 using grsrsrsrsrsr a substrate;title : leucettines , a class of potent inhibitor of cdc2-like kinase and dual specificity , tyrosine phosphorylation regulated kinase derived from the marine sponge leucettamine b : modulation of alternative pre-rna splicing . abstract : we here report on the synthesis , optimization , and biological characterization of leucettines , a family of kinase inhibitor derived from the marine sponge leucettamine b. stepwise synthesis of analogue starting from the natural structure , guided by activity testing on eight purified kinase , led to highly potent inhibitor of clks and dyrks , two family of kinase involved in alternative pre-mrna splicing and alzheimer 's disease/down syndrome . leucettine l41 wa cocrystallized with clk3 . it interacts with key residue located within the atp-binding pocket of the kinase . leucettine l41 inhibits the phosphorylation of serine/arginine-rich protein ( srp ) , a family of protein regulating pre-rna splicing . indeed leucettine l41 wa demonstrated to modulate alternative pre-mrna splicing , in a cell-based reporting system . leucettines should be further explored a pharmacological tool to study and modulate pre-rna splicing . leucettines may also be investigated a potential therapeutic drug in alzheimer 's disease ( ad ) and in disease involving abnormal pre-mrna splicing .;;-1.0
76;inhibition of human liver microsome cyp1a2 using phenacetin a substrate incubated for 5 to 20 min by lc-ms/ms analysis;title : discovery of potent and selective non-nucleotide small molecule inhibitor of cd73 . abstract : cd73 is an extracellular mediator of purinergic signaling . when upregulated in the tumor microenvironment , cd73 ha been implicated in the inhibition of immune function through overproduction of adenosine . traditional effort to inhibit cd73 have involved antibody therapy or the development of small molecule , the most potent of which mimic the acidic and ionizable structure of the enzyme 's natural substrate , adenosine 5'-monophosphate ( amp ) . here , we report the systematic discovery of a novel class of non-nucleotide cd73 inhibitor that are more potent than all other nonphosphonate inhibitor class reported to date . these effort have culminated in the discovery of 4- ( { 5- [ 4-fluoro-1- ( 2 < i > h < /i > -indazol-6-yl ) -1 < i > h < /i > -1,2,3-benzotriazol-6-yl ] -1 < i > h < /i > -pyrazol-1-yl } methyl ) benzonitrile ( < b > 73 < /b > , ic < sub > 50 < /sub > = 12 nm ) and 4- ( { 5- [ 4-chloro-1- ( 2 < i > h < /i > -indazol-6-yl ) -1 < i > h < /i > -1,2,3-benzotriazol-6-yl ] -1 < i > h < /i > -pyrazol-1-yl } methyl ) benzonitrile ( < b > 74 < /b > , ic < sub > 50 < /sub > = 19 nm ) . cocrystallization of < b > 74 < /b > with human cd73 demonstrates a competitive binding mode . these compound show promise for the improvement of drug-like character via the attenuation of the acidity and low membrane permeability inherent to known nucleoside inhibitor of cd73 .;;-1.0
77;displacement of [ 125i ] sar1 ile8-ang 2 from angiotensin 2 at1 receptor after 180 min by gamma counting;title : design , synthesis and biological evaluation of 6-substituted aminocarbonyl benzimidazole derivative a nonpeptidic angiotensin ii at1 receptor antagonist . abstract : a series of 6-substituted aminocarbonyl benzimidazole derivative were designed and synthesized a nonpeptidic angiotensin ii at ( 1 ) receptor antagonist . the preliminary pharmacological evaluation revealed nanomolar at ( 1 ) receptor binding affinity and good at ( 1 ) receptor selectivity over at ( 2 ) receptor for all compound of the series , a potent antagonistic activity in isolated rabbit aortic strip functional assay for compound 6b , 6d and 6i wa also demonstrated . furthermore , evaluation in spontaneous hypertensive rat and a preliminary toxicity evaluation showed that compound 6i is an orally active at ( 1 ) receptor antagonist with low toxicity .;;-1.0
79;inhibition of cox1 ( unknown origin );title : chalcone derivative bearing chromen or benzo [ f ] chromen moiety : design , synthesis , and evaluation of anti-inflammatory , analgesic , selective cox-2 inhibitory activity . abstract : thirty-eight chalconederivatives bearing a chromen or benzo [ f ] chromen moiety were synthesized and evaluated for their anti-inflammatory and analgesic activity . using an ear edema model , anti-inflammatory activity were observed for compound 3a-3s ( ear inflammation : 1.75-3.71 mg ) and 4a-4s ( ear inflammation : 1.71-4.94 mg ) . all compound also displayed analgesic effect with inhibition value of 66.7-100 % ( 3a-3s ) and 96.2-100 % ( 4a-4s ) . the 12 compound that displayed excellent anti-inflammatory and analgesic effect were tested for their inhibitory activity against ovine cox-1 and cox-2 . six compound bearing a chromen moiety were weak inhibitor of the cox-1 isozyme but showed moderate cox-2 isozyme inhibitory effect ( ic < sub > 50 < /sub > s from 0.37 μm to 0.83 μm ) and cox-2 selectivity index ( si : 22.49-9.34 ) . those bearing a benzo [ f ] chromen moiety were more selective toward cox-2 than those bearing a chromen moiety with ic < sub > 50 < /sub > s from 0.25 μm to 0.43 μm and cox-2 selectivity index from si : 31.08 to 20.67 .;;-1.0
81;inhibition of horse serum buche using s-butyrylthiocholine iodide a substrate incubated for 6 min prior to substrate addition measured after 60 to 180 sec by ellman method;title : multi-target tacrine-coumarin hybrid : cholinesterase and monoamine oxidase b inhibition property against alzheimer 's disease . abstract : a series of novel tacrine-coumarin hybrid were designed , synthesized and evaluated a multi-target agent against alzheimer 's disease . the biological assay indicated that most of compound displayed potent inhibitory activity toward ache and buche , and clearly selective inhibition for mao-b . among these compound , 14c exhibited strong inhibitory activity for ache ( ic50 value of 33.63 nm for eeache and 16.11 nm for hache ) and buche ( ic50 value of 80.72 nm for eqbuche and 112.72 nm for hbuche ) , and the highest inhibitory activity against hmao-b ( ic50 value of 0.24 μm ) . kinetic and molecular modeling study revealed that 14c wa a mixed-type inhibitor , binding simultaneously to catalytic , peripheral and mid-gorge site of ache . it wa also a competitive inhibitor , which covered the substrate and entrance cavity of mao-b . moreover , 14c could penetrate the cns and show low cell toxicity . overall , these result suggested that 14c might be an excellent multi-target agent for ad treatment .;;-1.0
82;inhibition of d5 dopamine receptor;title : 7-azabicyclo [ 2.2.1 ] heptane a a scaffold for the development of selective sigma-2 ( σ2 ) receptor ligand . abstract : a series of n-substituted 7-azabicyclo [ 2.2.1 ] heptane ( 12-17 and 22-25 ) and similarly substituted pyrrolidines ( 32-36 and 41-44 ) were synthesized a sterically-reduced , achiral analog of adamantane- and trishomocubane-derived σ ligand . in vitro competition binding assay against σ receptor revealed that arylalkyl n-substituents conferred selectivity for the σ ( 2 ) subtype , while alicyclic or polycarbocyclic substituents imparted high affinity for both subtypes . the σ ( 2 ) binding and subtype selectivity of n-arylalkyl-7-azanorbornanes wa generally greater than the analogously-substituted pyrrolidines , indicating that steric bulk and conformational restriction around the nitrogen atom are likely important for subtype discrimination .;;-1.0
83;displacement of [ 3h ] cp101606 from nr2b in rat brain minus cerebellum membrane;title : 2,6-disubstituted pyrazines and related analog a nr2b site antagonist of the nmda receptor with anti-depressant activity . abstract : herein we describe the discovery of compound that are competitive antagonist of the cp101-606 binding site within the nr2b subtype of the nmda receptor . the compound identified do not posse phenolic functional group such a those in ifenprodil and related analog . initial identification of hit in this series focused on a basic , secondary amine side chain which led to good potency , but also presented a herg liability . further modification led to example of non-basic replacement which demonstrated much le liability in this regard . finally , one compound in the series , 6a , wa tested in the mouse forced swim depression assay and found to show activity ( s.c. 60 mg/kg ) .;;-1.0
84;inhibition of pdgfralpha using tyr 04 peptide a substrate at 10 um after 60 min by z'-lyte assay;title : inhibition of c-kit , vegfr-2 ( kdr ) , and abcg2 by analogue of osi-930 . abstract : the quinoline domain of osi-930 , a dual inhibitor of receptor tyrosine kinase ( rtks ) c-kit and kdr , wa modified in an effort to further understand the sar of osi-930 , and the binding site characteristic of c-kit and kdr . a series of 16 compound with heteroatom substituted pyridyl and phenyl ring system wa synthesized and evaluated against a panel of kinase including c-kit and kdr . aminopyridyl derivative 6 wa found to be the most active member of the series with 91 % and 57 % inhibition of c-kit at 10μm and 1μm , respectively and 88 % and 50 % inhibition of kdr at 10μm and 1μm , respectively . the target compound were also tested for their ability to inhibit efflux of mitoxantrone through inhibition of atp dependent abcg2 pump . nitropyridyl derivative 5 and o-nitrophenyl derivative 7 exhibited complete inhibition of the abcg2 pump with ic ( 50 ) value of 13.67μm and 16.67μm , respectively .;;-1.0
85;binding affinity to adenosine a1 receptor in bovine cortical membrane by [ 3h ] n6-cyclohexyl adenosine displacement .;title : synthesis , molecular modeling study , and pharmacological activity of selective a ( 1 ) receptor antagonist . abstract : we present a combined computational study aimed at identifying the three-dimensional structural property required for different class of compound to show antagonistic activity toward the a ( 1 ) adenosine receptor ( ar ) . particularly , an approach combining pharmacophore mapping , molecular alignment , and pseudoreceptor generation wa applied to derive a hypothesis of the interaction pathway between a set of a ( 1 ) ar antagonist taken from the literature and a model of the putative a ( 1 ) receptor . the pharmacophore model consists of seven feature and represents an improvement of the n ( 6 ) -c8 model , generally reported a the most probable pharmacophore model for a ( 1 ) ar agonist and antagonist . it wa used to build up a pseudoreceptor model able to rationalize the relationship between structural property and biological data of , and external to , the training set . in fact , to further ass it statistical significance and predictive power , the pseudoreceptor wa employed to predict the free energy of binding associated with compound constituting a test set . while part of these molecule wa also taken from the literature , the remaining compound were designed and synthesized by our research group . all of the new compound were tested for their affinity toward a ( 1 ) , a ( 2a ) , and a ( 3 ) ar , showing interesting antagonistic activity and a ( 1 ) selectivity .;;-1.0
86;millipore : percentage of residual kinase activity of fgr at 1um relative to control . control inhibitor : staurosporine at 10.0um . buffer : 8 mm mop ph 7.0 , 0.2 mm edta;title : a broad activity screen in support of a chemogenomic map for kinase signalling research and drug discovery . abstract : despite the development of a number of efficacious kinase inhibitor , the strategy for rational design of these compound have been limited by target promiscuity . in an effort to better understand the nature of kinase inhibition across the kinome , especially a it relates to off-target effect , we screened a well-defined collection of kinase inhibitor using biochemical assay for inhibitory activity against 234 active human kinase and kinase complex , representing all branch of the kinome tree . for our study we employed 158 small molecule initially identified in the literature a potent and specific inhibitor of kinase important a therapeutic target and/or signal transduction regulator . hierarchical clustering of these benchmark kinase inhibitor on the basis of their kinome activity profile illustrates how they relate to chemical structure similarity and provides new insight into inhibitor specificity and potential application for probing new target . using this broad dataset , we provide a framework for assessing polypharmacology . we not only discover likely off-target inhibitor activity and recommend specific inhibitor for existing target , but also identify potential new us for known small molecule .;;-1.0
87;inhibition of n-terminal hexahistidine-tagged human lsd1 ( 1 to 852 amino acid ) expressed in escherichia coli bl21 ( de3 ) cell using h3k4me2 peptide a substrate preincubated for 5 min followed by substrate addition and measured for 30 min by peroxidase-coupled method;title : tranylcypromine based lysine-specific demethylase 1 inhibitor : summary and perspective . abstract : histone lysine-specific demethylase 1 ( lsd1/kdm1a ) ha become an important and promising anticancer target since it wa first identified in 2004 and specially demethylates lysine residue of histone h3k4me1/2 and h3k9me1/2 . lsd1 is ubiquitously overexpressed in diverse cancer , and abrogation of lsd1 result in inhibition of proliferation , invasion , and migration in cancer cell . over the past decade , a number of biologically active small-molecule lsd1 inhibitor have been developed . to date , six < i > trans < /i > -2-phenylcyclopropylamine ( tcp ) -based lsd1 inhibitor ( including tcp , ory-1001 , gsk-2879552 , incb059872 , img-7289 , and ory-2001 ) that covalently bind to the flavin adenine dinucleotide ( fad ) within the lsd1 catalytic cavity have already entered into clinical trial . here , we provide an overview about the structure , activity , and structure-activity relationship ( sar ) of tcp-based lsd1 inhibitor that mainly cover the literature from 2008 to date . the opportunity , challenge , and future research direction in this emerging and promising field are also discussed .;;-1.0
88;beta-1 adrenergic receptor agonist activity a increased camp level in cho cell expressing human beta-1-adrenoceptor;title : novel substituted 4-aminomethylpiperidines a potent and selective human beta3-agonists . part 2 : arylethanolaminomethylpiperidines . abstract : the synthesis and sar of a series of beta3 adrenoreceptor agonist based on a novel template derived from 4-aminomethylpiperidine coupled with a common pharmacophore , arylethylamine , is described . this combination led to the identification of human beta3 adrenoreceptor agonist with in vivo activity in a transgenic mouse model .;;1.0
89;agonist activity at cloned human gpr109a receptor expressed in cho-k1 cell by [ 35s ] gtpgammas binding assay;title : discovery of a biaryl cyclohexene carboxylic acid ( mk-6892 ) : a potent and selective high affinity niacin receptor full agonist with reduced flushing profile in animal a a preclinical candidate . abstract : biaryl cyclohexene carboxylic acid were discovered a full and potent niacin receptor ( gpr109a ) agonist . compound 1e ( mk-6892 ) displayed excellent receptor activity , good pk across specie , remarkably clean off-target profile , good ancillary pharmacology , and superior therapeutic window over niacin regarding the ffa reduction versus vasodilation in rat and dog .;;1.0
90;human oxe receptor ( leukotriene receptor );this assay detail affinity data for ligand at human oxe receptor , part of the family `` leukotriene receptor '' , a described in the published literature . where possible the data described are at transfected receptor expressed in cell line and the ligand described are those that are potent , selective , endogenous , or those used a prescription medication .;the international union of basic and clinical pharmacology/british pharmacological society (iuphar/bps) guide to pharmacology database (gtopdb) uses expert subcommittees to collate peer-reviewed information from the published literature regarding individual protein targets, and describes the pharmacology, genetics, function and anatomy of each target. its pages provide a richly curated overview of the pharmacology of receptors, ion channels, enzymes and other target types, which can be found by following the external link to the gtopdb website.;1.0
91;inhibition of cyp2c9 ( unknown origin );title : microscale high-throughput experimentation a an enabling technology in drug discovery : application in the discovery of ( piperidinyl ) pyridinyl-1h-benzimidazole diacylglycerol acyltransferase 1 inhibitor . abstract : miniaturization and parallel processing play an important role in the evolution of many technology . we demonstrate the application of miniaturized high-throughput experimentation method to resolve synthetic chemistry challenge on the frontlines of a lead optimization effort to develop diacylglycerol acyltransferase ( dgat1 ) inhibitor . reaction were performed on ∼1 mg scale using glass microvials providing a miniaturized high-throughput experimentation capability that wa used to study a challenging snar reaction . the availability of robust synthetic chemistry condition discovered in these miniaturized investigation enabled the development of structure-activity relationship that ultimately led to the discovery of soluble , selective , and potent inhibitor of dgat1 .;;-1.0
92;reversible inhibition of cyp3a4 in human liver microsome using midazolam a substrate;title : identification of nicotinamide phosphoribosyltransferase ( nampt ) inhibitor with no evidence of cyp3a4 time-dependent inhibition and improved aqueous solubility . abstract : herein we report the optimization effort to ameliorate the potent cyp3a4 time-dependent inhibition ( tdi ) and low aqueous solubility exhibited by a previously identified lead compound from our nampt inhibitor program ( 1 , gne-617 ) . metabolite identification study pinpointed the imidazopyridine moiety present in 1 a the likely source of the tdi signal , and replacement with other bicyclic system wa found to reduce or eliminate the tdi finding . a strategy of reducing the number of aromatic ring and/or lowering clogd7.4 wa then employed to significantly improve aqueous solubility . these effort culminated in the discovery of 42 , a compound with no evidence of tdi , improved aqueous solubility , and robust efficacy in tumor xenograft study .;;-1.0
